repeat	model	auc	brier
25	clinical_lineages	0.5146853146853148	0.20213348296266564
25	clinical_lineages_pair	0.6398601398601398	0.19154836036995315
26	clinical	0.5398601398601399	0.18839940127340402
26	clinical_pair	0.6111888111888112	0.19245013931189012
26	clinical_lineages	0.5328671328671328	0.20177164206035578
26	clinical_lineages_pair	0.6335664335664335	0.20053377871266465
27	clinical	0.5202797202797202	0.19079807903669704
27	clinical_pair	0.5909090909090909	0.1882049077109594
27	clinical_lineages	0.5881118881118881	0.1918351028545899
27	clinical_lineages_pair	0.6755244755244755	0.1852875172056204
28	clinical	0.5237762237762238	0.19157066102587814
28	clinical_pair	0.6356643356643357	0.18197053583305522
28	clinical_lineages	0.5195804195804196	0.20203991011450723
28	clinical_lineages_pair	0.6384615384615384	0.18693342063488522
29	clinical	0.4832167832167832	0.20135112008845749
29	clinical_pair	0.5629370629370629	0.19572794925335596
29	clinical_lineages	0.5321678321678323	0.2017493467118668
29	clinical_lineages_pair	0.6398601398601399	0.18948113893687524
30	clinical	0.46153846153846156	0.19571886036133831
30	clinical_pair	0.606993006993007	0.18576737733083384
30	clinical_lineages	0.548951048951049	0.20004557669067197
30	clinical_lineages_pair	0.6622377622377622	0.18780697028275342
31	clinical	0.513986013986014	0.19318871821495487
31	clinical_pair	0.6223776223776224	0.18477390899262666
31	clinical_lineages	0.558041958041958	0.19724284296311367
31	clinical_lineages_pair	0.6664335664335665	0.18270576789511206
32	clinical	0.4804195804195804	0.19511901851978022
32	clinical_pair	0.602097902097902	0.18596930373165596
32	clinical_lineages	0.5468531468531469	0.19806262202389596
32	clinical_lineages_pair	0.66013986013986	0.18186261641559573
33	clinical	0.49580419580419577	0.19407442955710924
33	clinical_pair	0.5846153846153846	0.19112076880768092
33	clinical_lineages	0.5398601398601399	0.19686433890550015
33	clinical_lineages_pair	0.6314685314685314	0.19302303577527366
34	clinical	0.48601398601398593	0.1953635360137056
34	clinical_pair	0.572027972027972	0.1898702332013388
34	clinical_lineages	0.5391608391608391	0.19947210750297095
34	clinical_lineages_pair	0.6272727272727272	0.19194625668705445
35	clinical	0.479020979020979	0.19856003111456524
35	clinical_pair	0.5762237762237763	0.19314920269621547
35	clinical_lineages	0.5552447552447553	0.20530416492290943
35	clinical_lineages_pair	0.6230769230769231	0.19730734269008943
36	clinical	0.3895104895104895	0.20624987710372206
